time,deviceId,value
1469118158,1,2
1469118158,2,54
1469118159,3,25
1469118180,5,3
1469118180,6,34
1469118181,7,25
1469118192,4,12
1469118219,8,13
1469118270,5,4
1469118320,13,25
1469118370,14,26
1469118493,4,11
1469118517,1,3
1469118519,8,12
1469118540,5,5
1469118600,15,0
1469118601,16,0
1469118635,5,4
1469118697,1,2
1469118788,1,3
1469118793,4,10
1469118819,8,11
1469118877,1,2
1469118900,5,3
1469118967,1,3
1469119047,4,64
1469119057,1,2
1469119069,4,63
1469119093,4,61
1469119097,4,10
1469119147,1,3
1469119170,5,2
1469119200,9,0
1469119201,10,0
1469119201,11,0
1469119202,12,0
1469119238,1,2
1469119260,5,3
1469119327,1,3
1469119397,4,9
1469119418,1,2
1469119419,8,10
1469119440,5,5
1469119507,17,88
1469119509,18,100
1469119510,1,4
1469119530,19,100
1469119530,5,4
1469119597,1,3
1469119710,5,5
1469119867,1,2
1469119890,5,4
1469119958,1,4
1469119980,5,3
1469119998,4,8
1469120018,8,9
1469120047,1,3
1469120062,20,0
1469120063,21,99
1469120065,4,62
1469120066,22,0
1469120067,23,99
1469120068,4,63
1469120069,24,0
1469120070,25,0
1469120071,5,5
1469120072,4,64
1469120072,26,63
1469120083,27,0
1469120094,28,0
1469120095,4,63
1469120096,29,99
1469120098,8,125
1469120099,4,64
1469120101,4,63
1469120136,4,62
1469120138,1,133
1469120145,30,0
1469120145,31,0
1469120146,4,63
1469120147,32,78
1469120148,4,62
1469120163,5,118
1469120165,26,0
1469120167,4,61
1469120169,4,62
1469120173,4,61
1469120192,21,0
1469120193,4,59
1469120197,4,9
1469120228,1,8
1469120251,5,110
1469120252,6,35
1469120285,29,0
1469120288,8,9
1469120318,1,4
1469120318,3,24
1469120340,5,109
1469120411,1,9
1469120430,5,106
1469120465,23,0
1469120498,4,6
1469120499,1,3
1469120546,21,99
1469120548,4,59
1469120588,1,2
1469120588,8,7
1469120594,21,0
1469120600,4,6
1469120611,5,104
1469120678,1,4
1469120701,5,102
1469120768,1,3
1469120791,5,108
1469120828,23,99
1469120833,26,63
1469120858,1,134
1469120882,5,103
1469120883,6,36
1469120900,4,7
1469120910,32,0
1469120948,1,96
1469120949,3,25
1469120971,5,3
1469120971,6,35
1469121038,1,83
1469121039,2,55
1469121061,5,4
1469121062,6,34
1469121128,1,110
1469121150,23,0
1469121151,5,5
1469121152,6,33
1469121188,8,6
1469121200,4,4
1469121218,1,65
1469121219,2,57
1469121241,5,3
1469121308,1,94
1469121309,2,63
1469121398,1,85
